"Time (EpSec)","Semi-major Axis (km)","Eccentricity","Inclination (deg)","RAAN (deg)","Arg of Perigee (deg)","True Anomaly (deg)","Mean Anomaly (deg)"
0.000,7367.700000,0.003987,82.924,272.948,297.291,0.000,0.000
60.000,7368.622741,0.004115,82.924,272.947,296.030,4.721,4.682
137.086,7369.900364,0.004299,82.925,272.946,294.934,10.262,10.174
214.150,7371.251577,0.004495,82.925,272.946,294.401,15.238,15.103
291.238,7372.643542,0.004693,82.926,272.945,294.373,19.711,19.530
368.368,7374.041957,0.004883,82.927,272.944,294.768,23.761,23.537
445.550,7375.412260,0.005057,82.927,272.944,295.505,27.474,27.207
522.809,7376.721224,0.005209,82.928,272.943,296.498,30.932,30.626
600.163,7377.937579,0.005335,82.928,272.943,297.670,34.215,33.872
677.420,7379.029637,0.005431,82.929,272.943,298.945,37.389,37.012
754.609,7379.972284,0.005494,82.930,272.942,300.252,40.524,40.116
828.841,7380.717916,0.005524,82.930,272.942,301.479,43.567,43.132
905.922,7381.307818,0.005523,82.930,272.942,302.660,46.817,46.357
982.989,7381.696738,0.005491,82.930,272.942,303.686,50.220,49.738
1060.053,7381.875735,0.005433,82.931,272.942,304.493,53.837,53.336
1137.116,7381.840436,0.005353,82.931,272.942,305.023,57.730,57.212
1212.337,7381.600731,0.005259,82.930,272.942,305.219,61.848,61.317
1289.457,7381.151959,0.005155,82.930,272.942,305.044,66.441,65.901
1366.637,7380.509460,0.005051,82.930,272.942,304.460,71.445,70.897
1443.872,7379.689021,0.004956,82.930,272.942,303.455,76.869,76.316
1521.162,7378.710403,0.004880,82.929,272.942,302.054,82.689,82.135
1598.530,7377.597796,0.004832,82.929,272.941,300.318,88.844,88.291
1676.002,7376.379542,0.004820,82.928,272.941,298.354,95.229,94.679
1753.593,7375.086556,0.004847,82.928,272.941,296.302,101.707,101.163
1831.306,7373.750371,0.004915,82.927,272.940,294.310,108.127,107.591
1909.140,7372.401887,0.005021,82.926,272.940,292.518,114.350,113.825
1987.105,7371.071089,0.005162,82.926,272.939,291.035,120.268,119.756
2065.227,7369.787352,0.005328,82.925,272.938,289.935,125.809,125.313
2143.531,7368.579717,0.005513,82.925,272.937,289.252,130.940,130.461
2221.973,7367.477323,0.005706,82.924,272.936,288.991,135.653,135.195
2300.398,7366.508973,0.005898,82.924,272.935,289.131,139.962,139.526
2378.816,7365.698887,0.006081,82.923,272.934,289.632,143.906,143.494
2457.243,7365.068005,0.006246,82.923,272.933,290.446,147.535,147.149
2535.686,7364.632096,0.006387,82.923,272.931,291.521,150.902,150.544
2614.128,7364.400637,0.006499,82.923,272.930,292.799,154.062,153.735
2692.555,7364.377202,0.006577,82.922,272.929,294.228,157.069,156.774
2770.963,7364.560510,0.006621,82.923,272.928,295.756,159.975,159.714
2849.387,7364.944820,0.006627,82.923,272.926,297.333,162.831,162.605
2927.782,7365.519285,0.006598,82.923,272.925,298.910,165.683,165.495
3006.190,7366.269515,0.006533,82.923,272.924,300.441,168.582,168.433
3084.593,7367.177674,0.006436,82.924,272.923,301.879,171.573,171.464
3162.997,7368.223479,0.006310,82.924,272.922,303.177,174.703,174.636
3241.403,7369.383822,0.006159,82.925,272.921,304.287,178.022,177.997
3319.820,7370.632761,0.005989,82.926,272.920,305.161,181.578,181.597
3398.251,7371.941289,0.005807,82.926,272.919,305.751,185.418,185.481
3476.682,7373.277667,0.005620,82.927,272.918,306.017,189.583,189.691
3555.113,7374.609502,0.005436,82.927,272.918,305.932,194.101,194.253
3633.580,7375.905919,0.005264,82.928,272.917,305.485,198.983,199.180
3712.121,7377.137555,0.005112,82.929,272.917,304.691,204.220,204.461
3790.740,7378.275598,0.004988,82.929,272.916,303.592,209.766,210.050
3869.235,7379.289958,0.004897,82.930,272.916,302.274,215.527,215.854
3947.583,7380.156148,0.004844,82.930,272.916,300.848,221.390,221.758
4025.797,7380.853571,0.004828,82.931,272.916,299.441,227.228,227.635
4103.898,7381.365397,0.004848,82.931,272.916,298.181,232.916,233.360
4181.893,7381.679090,0.004898,82.931,272.916,297.179,238.342,238.821
4259.794,7381.787496,0.004973,82.931,272.916,296.513,243.431,243.941
